Name,Sex,Weight
Ibrahim Mohamed Al-Ouiran,M,98.0
Attiya Shumrani Al-Qahtani,M,69.0
Juma Sulaiman Al-Rahbi,M,57.0
Khaled Al-Rasheed,M,
Abdullah Al-Rashidi,M,83.0
Abdullah Al-Rashidi,M,83.0
Abdullah Al-Rashidi,M,83.0
Abdullah Al-Rashidi,M,83.0
Abdullah Al-Rashidi,M,83.0
Abdullah Al-Rashidi,M,83.0
Obaid Al-Rumaithi,M,60.0
Obaid Al-Rumaithi,M,60.0
Obaid Al-Rumaithi,M,60.0
Obaid Al-Rumaithi,M,60.0
Obaid Al-Rumaithi,M,60.0
Obaid Al-Rumaithi,M,60.0
Obaid Al-Rumaithi,M,60.0
Obaid Al-Rumaithi,M,60.0
Jamal Abdullah Al-Saffar,M,70.0
Jamal Abdullah Al-Saffar,M,70.0
Jamal Abdullah Al-Saffar,M,70.0
Mayada Al-Sayad,F,
Fawaz Al-Shammari,M,76.0
Abdullah Al-Shamsi,M,70.0
Hisham Al-Sharaf Rashad,M,78.0
Barakat Salim Al-Sharji,M,60.0
Barakat Salim Al-Sharji,M,60.0
Ahmed Yahya Al-Shiekh,M,
Majed Al-Tamimi,M,
Majed Al-Taqi,M,65.0
Majed Al-Taqi,M,65.0
Sheikh Ali bin Khalid Al-Thani,M,73.0
Sheikh Ali bin Khalid Al-Thani,M,73.0
Abdullah Mohsin Al-Usaimi,M,73.0
Mohamed Al-Yami,M,65.0
Ali Mohamed Gharib Al-Zinkawi,M,102.5
Ali Mohamed Gharib Al-Zinkawi,M,102.5
Ali Mohamed Gharib Al-Zinkawi,M,102.5
Mohamed Gharib Al-Zinkawi,M,113.0
Mohamed Gharib Al-Zinkawi,M,113.0
Mohamed Gharib Al-Zinkawi,M,113.0
Osmo Juhani Ala-Honkola,M,87.0
Osmo Juhani Ala-Honkola,M,87.0
Tapani Jarkko Ala-Huikku,M,60.0
Tapani Jarkko Ala-Huikku,M,60.0
Mikko Juhani Ala-Leppilampi,M,64.0
Ayman Alaa El-Din Mohamed Fayez,M,72.0
Ayman Alaa El-Din Mohamed Fayez,M,72.0
Marina Alabau Neira,F,55.0
Marina Alabau Neira,F,55.0
Marina Alabau Neira,F,55.0
Kunaratnam Alagaratnam,M,55.0
Kunaratnam Alagaratnam,M,55.0
Ahmed Alam,M,70.0
Ahmed Alam,M,70.0
Anthony Kenneth Alan-Williams,M,76.0
Vyacheslav Nikolayevich Alanov,M,59.0
Mariem Alaoui Selsouli,F,45.0
Fernando Alarza Vicente,M,67.0
Toimi Johannes Alatalo,M,67.0
Toimi Johannes Alatalo,M,67.0
Toimi Johannes Alatalo,M,67.0
Jos Luis lava Quintana,M,87.0
Kouflu Alazar,M,64.0
Kouflu Alazar,M,64.0
"William Everett ""Bill"" Albans",M,77.0
Fabio Albarelli,M,80.0
Fabio Albarelli,M,80.0
Ruslan Vladimirovich Albegov,M,156.0
Charles Albert,M,
Georges-Henri Albert,M,
Louis Albert,M,
Angela Alberti,F,55.0
Angela Alberti,F,55.0
Angela Alberti,F,55.0
Angela Alberti,F,55.0
Angela Alberti,F,55.0
Angela Alberti,F,55.0
Louis-Henri Albinet,M,
Alan Jacob Alborn,M,61.0
Alan Jacob Alborn,M,61.0
Alan Jacob Alborn,M,61.0
Alan Jacob Alborn,M,61.0
Alan Jacob Alborn,M,61.0
Alan Jacob Alborn,M,61.0
Alan Jacob Alborn,M,61.0
Alan Jacob Alborn,M,61.0
Alan Jacob Alborn,M,61.0
Pierre Albrecht,M,
John Robert Albrechtson,M,67.0
John Robert Albrechtson,M,67.0
John Robert Albrechtson,M,67.0
Gustavo Barreiros de Albuquerque,M,85.0
Mablio Antnio Gomes Sousa Agostini Albuquerque,M,84.0
Mablio Antnio Gomes Sousa Agostini Albuquerque,M,84.0
Teodoro Alcalde Millos,M,
Ricardo Aldabe Moreno,M,80.0
Ricardo Aldabe Moreno,M,80.0
Gregorio Aldama Fernndez,M,81.0
Yamil Aldama Pozo (-Dodds),F,62.0
Yamil Aldama Pozo (-Dodds),F,62.0
Yamil Aldama Pozo (-Dodds),F,62.0
Yamil Aldama Pozo (-Dodds),F,62.0
Brett Alderman,M,91.0
Manole Aldescu,M,
Manole Aldescu,M,
Manole Aldescu,M,
"Robert Mathew ""Bob"" Aldighieri",M,70.0
Erin Marie Aldrich,F,62.0
Marius Alecu,M,115.0
Konstantin Aleksandrov,M,95.0
Konstantin Aleksandrov,M,95.0
Konstantin Aleksandrov,M,95.0
Konstantin Aleksandrov,M,95.0
Liliyana Lyubenova Aleksandrova,F,67.0
Liliyana Lyubenova Aleksandrova,F,67.0
Liliyana Lyubenova Aleksandrova,F,67.0
Liliyana Lyubenova Aleksandrova,F,67.0
Liliyana Lyubenova Aleksandrova,F,67.0
Larisa Aleksandrova-Popova,F,83.0
Larisa Aleksandrova-Popova,F,83.0
Dmitry Sergeyevich Aleksanin,M,87.0
Yana Ivanovna Alekseevna,F,60.0
Sandra Aleksejeva,F,62.0
Aleksandr Vyacheslavovich Alekseyev,M,91.0
Aleksandr Yuryevich Alekseyev,M,85.0
Igor Alekseyev,M,91.0
Lyubov Alekseyeva,F,47.0
Svetlana Yuryevna Alekseyeva,F,53.0
Svetlana Yuryevna Alekseyeva,F,53.0
Rumen Emilov Aleksiev,M,84.0
Simretu Alemayehu,M,68.0
Habitam Alemu,F,52.0
Ludovico Ferdinando Alessandri,M,
Ludovico Ferdinando Alessandri,M,
Ludovico Ferdinando Alessandri,M,
Ludovico Ferdinando Alessandri,M,
Fiona Michelle Alessandri (-Wildy),F,61.0
Fiona Michelle Alessandri (-Wildy),F,61.0
Antoine Luc Alessandri,M,
Arnaud Alessandria,M,92.0
Arnaud Alessandria,M,92.0
Arnaud Alessandria,M,92.0
Alex Sandro Lobo Silva,M,60.0
Ayanna Alexander,F,60.0
Macarena Alexanderson lvarez,F,
Alexandra Priscila do Nascimento,F,68.0
Alexandra Priscila do Nascimento,F,68.0
Alexandra Priscila do Nascimento,F,68.0
Alexandra Priscila do Nascimento,F,68.0
Michel Alexandre,M,65.0
Anna-Maria Alexandri,F,48.0
Panagiotis Alexandris,M,79.0
Panagiotis Alexandris,M,79.0
Athina-Theodora Alexopoulou,F,63.0
Alin Alexuc-Ciurariu,M,105.0
Alin Alexuc-Ciurariu,M,105.0
Vladimir Petrovich Aleynik,M,74.0
Vladimir Petrovich Aleynik,M,74.0
Rafael Alfaro Ferracuti,M,80.0
"Laurens Cornelus ""Loek"" Alflen",M,57.0
Jean Alfonsetti,M,
Jean Alfonsetti,M,
Clara Alfonso Freyre,F,70.0
Clara Alfonso Freyre,F,70.0
Axel Alfredsson,M,
Vittorio Algeri,M,68.0
Ernesto Alguera,M,54.0
George Alhassan,M,71.0
Abdul Muhsen Ali,M,78.0
Abdul Muhsen Ali,M,78.0
Abdullah Ali,M,
Abdullah Ali,M,
Abdullah Ali,M,80.0
Ahmed Ali,M,
